text,emotion
"Masusunog kami, Bathala! Tulungan mo kami! sigaw ng mga tao.",1
Paano tayo makararating sa sanggol?,1
Lalong ayaw niya ang isang Hari na mas mataas at makapangyarihan pa sa kanya.,1
"May masamang balak si Herodes sa sanggol, babala ng angel at sinabi ang balak ni Herodes.",1
Takot na takot ako.,1
Mula noon ay lalong hindi siya makatingin Sa mga manok na salo-salo pa naman kung kumain.,1
Lagi siya sa isang sulok. Inaantok. Sumisinghot. Namamaluktot,1
Hindi ako takot sa dilim! habang nanginginig sa takot,1
"Nang makita niya na walang ilaw, nagsisigaw siya sa takot.",1
Tuka'y tumitiklop Pag nagtangkang tumilaok.,1
"Akala naman ni Onyok, Parati siyang pinagtatawanan Ng mga kapwa-manok.",1
Kumawala tuloy siya sa kamay ng kawal at napatalon ng mataas!,1
Lalong nagsisigaw ang prinsesa!,1
Takut na takot kay Poknoy Palaka!,1
Nakatatakot pa ang lakas ng hangin.,1
Lumakas ang ulan at hindi tumigil.,1
Maraming nasirang kahoy at pananim At waring babaha sa buong bukirin.,1
"Tumakbo agad si Tiktaktok at sumigaw nang sumigaw,",1
Huwag mong kainin ang karne! May lason pala 'yan!",1
Hindi mapakali si Beybi Dan.,1
Si Ching ay takot sa dilim.,1
"Kapag gabi na, natatakot siyang lumabas sa madilim na bakuran. ",1
Natatakot siyang pumasok sa mga gilid na walang ilaw. ,1
"Sa isip ni Ching, baka may bumabang kapre mula sa taas ng malaking punong mangga sa madilim na bakuran. ",1
O may mga higanteng galamay na susunggab sa kaniya sa loob ng madilim na silid.,1
Tinatakot kasi siya ng mga pinsan niya.,1
"""Huwag kang lalabas ng bahay, Ching, baka kunin ka ng tikbalang!"" pananakot sa kaniya ni Kuya Jon.",1
Maya-maya ... Biglang dilim! Namatay lahat ng ilaw!,1
"""Ha! Takot n'yo lang ngayon sa liwanag ko!"" ",1
Pero teka ... unti-unting lumabo ang ilaw ng lente ni Ching ... hanggang mawala ang sindi nito.,1
Takot na takot si Ching!,1
 Napakadilim! At wala pa ang nanay niya!,1
Pumikit na lang si Ching at hinintay na dakmain siya ng mga malamig at mabalahibong kamay ng mga maligno ?,1
"""Ayan na, ayan na.?."" nanginginig na bulong ni Ching habang nakaupo sa dilim.",1
Bigla siyang kinilabutan sa nakita niya: dalawang kumikinang na maliit na kristal na lumulutang palapit sa kaniya.,1
Hindi na nakatinag sa takot si Ching.,1
"""Sandali lang, Toto!"" sigaw ni Mia.",1
Kumapit si Mia sa kaniyang sombrero at natangay siya paitaas.,1
"""Abay magaling,"" sagot ni Pagong kahit natatakot.",1
sagot ni Pagong kahit nanginginig.,1
"""Naku, huwag mo akong itapon sa ilog,"" pagmamakaawa ni Pagong.",1
"Sa madilim na gubat, naririnig ni Maria ang kakaibang ingay ng hindi kilalang nilalang.",1
"Nang biglang umitim ang langit, natakot si Juan dahil parang may mumunting multo sa kanyang harapan.",1
"Habang naglalakad siyang mag-isa, napansin ni Mia ang malakas na kidlat na nagdudulot ng pangamba sa kanyang puso.",1
"Dahil sa mabilis na pag-ulan, naging takot si Mateo na mawala sa kalsada at hindi makauwi.",1
"Dahil sa malakas na kulog, natatakot si Lito at nagtatago sa ilalim ng kanyang kumot.",1
"Nang mawala sa kanyang harapan ang kanyang mga kaibigan, naging takot si Tinay na baka siya'y maiwan mag-isa.",1
"Nang makarinig ng nakakakilabot na ingay sa silong ng bahay, naging takot si Diego at nagtago sa ilalim ng mesa.",1
Si Sofia ay nagtakbuhan nang makita niyang lumitaw ang malaking gagamba.,1
Nagulat si Andres nang biglang umandar ang nakakatakot na kwento sa radyo.,1
Nanginginig ang tuhod ni Diego nang makarinig ng malakas na yabag sa gabi.,1
"Tila tinatakasan lagi ng kulay ang mukha niya, at napapadalas na rin ang pagsisikip ng kaniyang hininga para ipagwalang bahala pa.",1
"Naalala ng haciendero ang sinapit ng kaniyang asawa, kung kaya't nagpasiya itong huwag nang palabasin ng bahay ang anak niya, upang huwag na itong takasan ng kaniyang hininga",1
"Pero nakamamatay palá ang ipot ng mga ibong iyon, sumasabog!",1
alangan silang napatango sa isa't isa at nag-isip rin kung paano mabilis na makakatakas,1
Ang pinakatahimik at kimi ay agad nagagalit at handang makipag-away dahil lang sa pinakamaliliit na bagay,1
Kataka-takang nagkaroon din ng epidemya ng pagkabaliw at pagpapatiwakal,1
"At sa lahat ng ito, walang humpay ang pag-alulong ng hangin sa buong bayan. Nakapangingilabot, animo may ibinabadyang masamang pangitain.",1
"Dahil kalbo na ang kabundukan, mabilis na umagos ang rumaragasang baha, kasamang dumausdos ang ilang trosong nakatiwangwang",1
Binomba ng mga Hapon ang istasyon namin sa Pearl Harbor,1
"napuno ng takot at pangamba ang buong bansa, lalo na sa kanayunan",1
"Minsan, may nabasa ako tungkol sa isang komunidad na napaghinalaang kalaban ng pamahalaan",1
Nanalangin na lang ako na lagi sanang ligtas ang aking kaibigan at ang kanyang kagubatan,1
Dahan-dahan siyang humakbang habang ginagawang pambalanse ang dalawang brasong nakataas,1
"""Narinig ko po kasi sa balita na kailangan daw po na isang metro ang layo tuwing pumipila sa mga pamilihan. Nakita ko rin po sa TV, nakaupo sila nang malayo sa isa't isa. Bawal daw po munang magtabi-tabi para hindi mahawa o makahawa ng virus nga ba ang tawag doon?"" sambit ni Ella.",1
"""Tama ang narinig at nakita mo. Pansamantala, hindi muna pwedeng maglapit-lapit ang mga tao dahil mayroong virus na sobrang liliit at hindi natin nakikita. Coronavirus ang tawag sa virus na ito.""",1
